OrderID,OrderDate,ShipDate,ShipMode,CustomerID,AddressID
CA-2014-140004,2014-03-25,2014-03-25,Standard Class,CB-12025,CB-12025A1
CA-2017-107720,2017-11-13,2017-11-13,Standard Class,VM-21685,VM-21685A2
US-2017-124303,2017-07-13,2017-07-13,Standard Class,FH-14365,FH-14365A2
CA-2017-105074,2017-06-29,2017-06-29,Standard Class,MB-17305,MB-17305A10
CA-2014-133690,2014-08-05,2014-08-05,First Class,BS-11755,BS-11755A7
US-2017-116701,2017-12-21,2017-12-21,Second Class,LC-17140,LC-17140A9
CA-2017-126382,2017-06-07,2017-06-07,Standard Class,HK-14890,HK-14890A1
CA-2017-108329,2017-12-14,2017-12-14,Standard Class,LE-16810,LE-16810A1
CA-2017-135860,2017-12-07,2017-12-07,Standard Class,JH-15985,JH-15985A6
CA-2015-101007,2015-02-13,2015-02-13,Second Class,MS-17980,MS-17980A1
CA-2015-146262,2015-01-09,2015-01-09,Standard Class,VW-21775,VW-21775A10
CA-2016-130162,2016-11-01,2016-11-01,Standard Class,JH-15910,JH-15910A3
CA-2015-169397,2015-12-27,2015-12-27,First Class,JB-15925,JB-15925A1
CA-2015-163055,2015-08-16,2015-08-16,Standard Class,DS-13180,DS-13180A8
US-2015-145436,2015-03-04,2015-03-04,Standard Class,VD-21670,VD-21670A6
US-2014-156216,2014-09-17,2014-09-17,Standard Class,EA-14035,EA-14035A12
US-2017-100930,2017-04-12,2017-04-12,Standard Class,CS-12400,CS-12400A6
CA-2017-160514,2017-11-16,2017-11-16,Standard Class,DB-13120,DB-13120A7
CA-2016-157749,2016-06-09,2016-06-09,Second Class,KL-16645,KL-16645A3
CA-2014-131926,2014-06-06,2014-06-06,Second Class,DW-13480,DW-13480A2
CA-2016-154739,2016-12-15,2016-12-15,Second Class,LH-17155,LH-17155A7
CA-2016-145625,2016-09-17,2016-09-17,Standard Class,KC-16540,KC-16540A4
CA-2016-146941,2016-12-13,2016-12-13,First Class,DL-13315,DL-13315A8
US-2015-159982,2015-12-04,2015-12-04,Standard Class,DR-12880,DR-12880A7
CA-2017-163139,2017-12-03,2017-12-03,Second Class,CC-12670,CC-12670A1
US-2017-155299,2017-06-12,2017-06-12,Standard Class,Dl-13600,Dl-13600A3
US-2014-106992,2014-09-21,2014-09-21,Second Class,SB-20290,SB-20290A3
CA-2016-125318,2016-06-13,2016-06-13,Standard Class,RC-19825,RC-19825A1
CA-2015-155040,2015-11-15,2015-11-15,Standard Class,AH-10210,AH-10210A8
CA-2017-136826,2017-06-20,2017-06-20,Standard Class,CB-12535,CB-12535A6
CA-2016-111010,2016-01-28,2016-01-28,Standard Class,PG-18895,PG-18895A7
US-2017-145366,2017-12-13,2017-12-13,Standard Class,CA-12310,CA-12310A1
CA-2017-163979,2018-01-02,2018-01-02,Second Class,KH-16690,KH-16690A5
CA-2015-155334,2015-07-31,2015-07-31,First Class,HA-14920,HA-14920A4
CA-2017-118136,2017-09-17,2017-09-17,First Class,BB-10990,BB-10990A3
CA-2017-132976,2017-10-17,2017-10-17,Standard Class,AG-10495,AG-10495A7
US-2015-161991,2015-09-28,2015-09-28,Second Class,SC-20725,SC-20725A10
CA-2015-130890,2015-11-06,2015-11-06,Standard Class,JO-15280,JO-15280A3
CA-2015-130883,2015-10-02,2015-10-02,Standard Class,TB-21520,TB-21520A2
CA-2016-112697,2016-12-20,2016-12-20,Second Class,AH-10195,AH-10195A3
CA-2016-110772,2016-11-24,2016-11-24,Second Class,NZ-18565,NZ-18565A4
CA-2014-111451,2014-12-28,2014-12-28,First Class,KL-16555,KL-16555A4
CA-2016-142545,2016-11-03,2016-11-03,Standard Class,JD-15895,JD-15895A9
US-2017-152380,2017-11-23,2017-11-23,Standard Class,JH-15910,JH-15910A1
CA-2015-144253,2015-05-09,2015-05-09,Second Class,AS-10225,AS-10225A5
CA-2014-130960,2015-01-04,2015-01-04,Standard Class,KB-16600,KB-16600A7
CA-2014-111003,2014-06-06,2014-06-06,Standard Class,CR-12625,CR-12625A3
CA-2017-126774,2017-04-17,2017-04-17,First Class,SH-20395,SH-20395A4
CA-2016-142902,2016-09-14,2016-09-14,Second Class,BP-11185,BP-11185A9
CA-2014-120887,2014-10-03,2014-10-03,Standard Class,TS-21205,TS-21205A5
CA-2014-167850,2014-08-16,2014-08-16,Standard Class,AG-10525,AG-10525A1
CA-2014-164259,2014-12-30,2014-12-30,First Class,SP-20860,SP-20860A2
CA-2014-164973,2014-11-09,2014-11-09,Standard Class,NM-18445,NM-18445A6
CA-2014-156601,2014-09-24,2014-09-24,Standard Class,FA-14230,FA-14230A5
CA-2016-162138,2016-04-27,2016-04-27,Standard Class,GK-14620,GK-14620A4
CA-2017-153339,2017-11-05,2017-11-05,Second Class,DJ-13510,DJ-13510A6
US-2016-141544,2016-09-01,2016-09-01,First Class,PO-18850,PO-18850A10
US-2016-150147,2016-04-29,2016-04-29,Second Class,JL-15850,JL-15850A2
CA-2015-137946,2015-09-04,2015-09-04,Second Class,DB-13615,DB-13615A5
CA-2014-129924,2014-07-17,2014-07-17,Standard Class,AC-10420,AC-10420A2
CA-2015-128167,2015-06-26,2015-06-26,Second Class,KL-16645,KL-16645A11
CA-2014-122336,2014-04-17,2014-04-17,Second Class,JD-15895,JD-15895A3
US-2015-120712,2015-12-24,2015-12-24,Standard Class,CS-12130,CS-12130A2
CA-2017-169901,2017-06-19,2017-06-19,Standard Class,CC-12550,CC-12550A2
CA-2017-134306,2017-07-12,2017-07-12,Standard Class,TD-20995,TD-20995A6
CA-2016-129714,2016-09-03,2016-09-03,First Class,AB-10060,AB-10060A5
CA-2016-138520,2016-04-13,2016-04-13,Standard Class,JL-15505,JL-15505A5
CA-2016-130001,2016-04-28,2016-04-28,Standard Class,HK-14890,HK-14890A7
CA-2017-155698,2017-03-11,2017-03-11,First Class,VB-21745,VB-21745A1
CA-2017-144904,2017-10-01,2017-10-01,Standard Class,KW-16435,KW-16435A5
CA-2014-123344,2014-09-29,2014-09-29,Standard Class,JD-16060,JD-16060A1
CA-2016-155516,2016-10-21,2016-10-21,Same Day,MK-17905,MK-17905A2
CA-2017-104745,2017-06-04,2017-06-04,Standard Class,GT-14755,GT-14755A2
US-2014-119137,2014-07-27,2014-07-27,Standard Class,AG-10900,AG-10900A1
US-2016-134656,2016-10-01,2016-10-01,First Class,MM-18280,MM-18280A6
US-2017-134481,2017-09-01,2017-09-01,Standard Class,AR-10405,AR-10405A4
CA-2015-130792,2015-05-05,2015-05-05,Standard Class,RA-19915,RA-19915A9
CA-2016-134775,2016-10-29,2016-10-29,First Class,AS-10285,AS-10285A2
CA-2015-125395,2015-06-29,2015-06-29,Second Class,LA-16780,LA-16780A9
US-2015-168935,2015-12-02,2015-12-02,Standard Class,DO-13435,DO-13435A5
CA-2015-122756,2015-12-07,2015-12-07,Standard Class,DK-13225,DK-13225A1
CA-2014-115973,2014-11-26,2014-11-26,First Class,NG-18430,NG-18430A2
CA-2017-101798,2017-12-15,2017-12-15,Standard Class,MV-18190,MV-18190A6
US-2014-135972,2014-09-23,2014-09-23,Second Class,JG-15115,JG-15115A1
US-2014-134971,2014-06-10,2014-06-10,Second Class,BP-11095,BP-11095A7
CA-2017-102946,2017-07-05,2017-07-05,Standard Class,VP-21730,VP-21730A3
CA-2017-165603,2017-10-19,2017-10-19,Second Class,SS-20140,SS-20140A4
CA-2015-122259,2015-11-04,2015-11-04,Standard Class,HP-14815,HP-14815A7
CA-2016-108987,2016-09-10,2016-09-10,Second Class,AG-10675,AG-10675A5
CA-2014-113166,2014-12-26,2014-12-26,First Class,LF-17185,LF-17185A2
CA-2014-155208,2014-04-20,2014-04-20,Standard Class,SP-20650,SP-20650A2
CA-2017-117933,2017-12-29,2017-12-29,Standard Class,RF-19840,RF-19840A4
CA-2017-117457,2017-12-12,2017-12-12,Standard Class,KH-16510,KH-16510A7
CA-2017-142636,2017-11-07,2017-11-07,Standard Class,KC-16675,KC-16675A1
CA-2017-122105,2017-06-28,2017-06-28,Standard Class,CJ-12010,CJ-12010A6
CA-2016-148796,2016-04-18,2016-04-18,Standard Class,PB-19150,PB-19150A2
CA-2017-154816,2017-11-10,2017-11-10,Standard Class,VB-21745,VB-21745A5
CA-2017-110478,2017-03-09,2017-03-09,Standard Class,SP-20860,SP-20860A6
CA-2014-142048,2014-06-25,2014-06-25,First Class,JE-15745,JE-15745A7
CA-2017-125388,2017-10-23,2017-10-23,Standard Class,MP-17965,MP-17965A2
CA-2017-155705,2017-08-23,2017-08-23,Second Class,NF-18385,NF-18385A3
CA-2017-149160,2017-11-26,2017-11-26,Second Class,JM-15265,JM-15265A3
CA-2014-101476,2014-09-13,2014-09-13,First Class,SD-20485,SD-20485A5
CA-2017-152275,2017-10-08,2017-10-08,Standard Class,KH-16630,KH-16630A1
US-2016-123750,2016-04-21,2016-04-21,Standard Class,RB-19795,RB-19795A8
CA-2016-127369,2016-06-07,2016-06-07,First Class,DB-13060,DB-13060A7
US-2014-150574,2014-12-25,2014-12-25,Standard Class,MK-18160,MK-18160A2
CA-2016-147375,2016-06-14,2016-06-14,Second Class,PO-19180,PO-19180A2
CA-2017-130043,2017-09-19,2017-09-19,Standard Class,BB-11545,BB-11545A2
CA-2017-157252,2017-01-23,2017-01-23,Second Class,CV-12805,CV-12805A1
CA-2016-115756,2016-09-07,2016-09-07,Second Class,PK-19075,PK-19075A3
CA-2017-154214,2017-03-25,2017-03-25,Second Class,TB-21595,TB-21595A1
CA-2016-166674,2016-04-03,2016-04-03,Second Class,RB-19360,RB-19360A4
CA-2017-147277,2017-10-24,2017-10-24,Standard Class,EB-13705,EB-13705A3
CA-2016-100153,2016-12-17,2016-12-17,Standard Class,KH-16630,KH-16630A7
US-2014-110674,2014-02-18,2014-02-18,Standard Class,SC-20095,SC-20095A6
US-2016-157945,2016-10-01,2016-10-01,Standard Class,NF-18385,NF-18385A4
CA-2015-109638,2015-12-22,2015-12-22,Standard Class,JH-15985,JH-15985A5
CA-2016-109869,2016-04-29,2016-04-29,Standard Class,TN-21040,TN-21040A3
US-2015-101399,2015-01-24,2015-01-24,Standard Class,JS-15940,JS-15940A3
CA-2017-154907,2017-04-04,2017-04-04,Standard Class,DS-13180,DS-13180A4
US-2016-100419,2016-12-20,2016-12-20,Second Class,CC-12670,CC-12670A5
CA-2015-154144,2015-12-24,2015-12-24,Standard Class,MH-17785,MH-17785A2
CA-2014-144666,2014-11-11,2014-11-11,Second Class,JP-15520,JP-15520A3
CA-2016-103891,2016-07-19,2016-07-19,Standard Class,KH-16690,KH-16690A7
CA-2016-152632,2016-11-02,2016-11-02,Standard Class,JE-15475,JE-15475A1
CA-2016-100790,2016-07-02,2016-07-02,Standard Class,JG-15805,JG-15805A2
CA-2014-134677,2014-10-10,2014-10-10,Standard Class,XP-21865,XP-21865A3
CA-2014-127691,2014-07-27,2014-07-27,Standard Class,EM-14065,EM-14065A3
CA-2017-140963,2017-06-13,2017-06-13,First Class,MT-18070,MT-18070A2
CA-2014-154627,2014-10-31,2014-10-31,First Class,SA-20830,SA-20830A10
CA-2014-133753,2014-06-13,2014-06-13,Second Class,CW-11905,CW-11905A5
CA-2014-113362,2014-09-19,2014-09-19,Standard Class,AJ-10960,AJ-10960A2
CA-2016-169166,2016-05-14,2016-05-14,Standard Class,SS-20590,SS-20590A6
US-2016-120929,2016-03-21,2016-03-21,Second Class,RO-19780,RO-19780A7
CA-2015-134782,2015-12-31,2015-12-31,Standard Class,MD-17350,MD-17350A3
CA-2016-126158,2016-07-31,2016-07-31,Standard Class,SC-20095,SC-20095A1
US-2016-105578,2016-06-04,2016-06-04,Standard Class,MY-17380,MY-17380A4
CA-2017-134978,2017-11-15,2017-11-15,Second Class,EB-13705,EB-13705A5
CA-2015-145352,2015-03-22,2015-03-22,Standard Class,CM-12385,CM-12385A3
CA-2017-135307,2017-11-27,2017-11-27,First Class,LS-17245,LS-17245A2
CA-2016-106341,2016-10-23,2016-10-23,First Class,LF-17185,LF-17185A3
CA-2017-163405,2017-12-25,2017-12-25,Standard Class,BN-11515,BN-11515A1
CA-2017-127432,2017-01-27,2017-01-27,Standard Class,AD-10180,AD-10180A5
CA-2015-157812,2015-03-26,2015-03-26,Standard Class,DB-13210,DB-13210A5
CA-2017-145142,2017-01-25,2017-01-25,First Class,MC-17605,MC-17605A3
US-2016-139486,2016-05-23,2016-05-23,First Class,LH-17155,LH-17155A3
CA-2015-158792,2016-01-02,2016-01-02,Standard Class,BD-11605,BD-11605A4
CA-2017-113558,2017-10-26,2017-10-26,Standard Class,PH-18790,PH-18790A1
US-2015-138303,2015-09-07,2015-09-07,Standard Class,MG-18145,MG-18145A4
CA-2015-102848,2015-11-09,2015-11-09,Second Class,KB-16240,KB-16240A7
US-2017-129441,2017-09-11,2017-09-11,Standard Class,JC-15340,JC-15340A1
CA-2016-168753,2016-06-01,2016-06-01,Second Class,RL-19615,RL-19615A4
CA-2016-126613,2016-07-16,2016-07-16,Standard Class,AA-10375,AA-10375A9
US-2017-122637,2017-09-08,2017-09-08,Second Class,EP-13915,EP-13915A16
CA-2015-147851,2015-12-08,2015-12-08,Standard Class,MP-17470,MP-17470A4
CA-2015-134894,2015-12-11,2015-12-11,Standard Class,DK-12985,DK-12985A5
CA-2014-140795,2014-02-03,2014-02-03,First Class,BD-11500,BD-11500A5
CA-2016-136924,2016-07-17,2016-07-17,First Class,ES-14080,ES-14080A1
US-2015-120161,2015-12-23,2015-12-23,Standard Class,LM-17065,LM-17065A3
CA-2014-103849,2014-05-16,2014-05-16,Standard Class,PG-18895,PG-18895A2
CA-2017-162929,2017-11-22,2017-11-22,First Class,AS-10135,AS-10135A1
CA-2015-113173,2015-11-17,2015-11-17,Second Class,DK-13225,DK-13225A8
CA-2016-136406,2016-04-17,2016-04-17,Second Class,BD-11320,BD-11320A9
CA-2017-112774,2017-09-12,2017-09-12,First Class,RC-19960,RC-19960A4
CA-2017-101945,2017-11-28,2017-11-28,Standard Class,GT-14710,GT-14710A1
CA-2017-100650,2017-07-03,2017-07-03,Second Class,DK-13225,DK-13225A6
CA-2014-155852,2014-03-07,2014-03-07,Second Class,AJ-10945,AJ-10945A5
CA-2016-113243,2016-06-15,2016-06-15,Standard Class,OT-18730,OT-18730A5
CA-2017-118731,2017-11-22,2017-11-22,Second Class,LP-17080,LP-17080A2
CA-2014-145576,2014-09-18,2014-09-18,Second Class,CA-12775,CA-12775A1
CA-2015-130736,2015-12-09,2015-12-09,First Class,JF-15490,JF-15490A1
CA-2017-137099,2017-12-10,2017-12-10,First Class,FP-14320,FP-14320A5
CA-2017-156951,2017-10-08,2017-10-08,Standard Class,EB-13840,EB-13840A4
CA-2017-164826,2018-01-04,2018-01-04,Standard Class,JF-15415,JF-15415A3
CA-2016-127250,2016-11-07,2016-11-07,Standard Class,SF-20200,SF-20200A2
CA-2015-149713,2015-09-22,2015-09-22,Second Class,TG-21640,TG-21640A3
CA-2017-118640,2017-07-26,2017-07-26,Standard Class,CS-11950,CS-11950A7
CA-2015-132906,2015-09-14,2015-09-14,Standard Class,CC-12145,CC-12145A5
CA-2017-145233,2017-12-05,2017-12-05,Standard Class,DV-13465,DV-13465A6
CA-2015-128139,2015-07-09,2015-07-09,Standard Class,BD-11725,BD-11725A3
US-2016-156986,2016-03-24,2016-03-24,Standard Class,ZC-21910,ZC-21910A8
CA-2014-135405,2014-01-13,2014-01-13,Standard Class,MS-17830,MS-17830A4
CA-2014-131450,2014-08-15,2014-08-15,Standard Class,LR-16915,LR-16915A3
CA-2016-120180,2016-07-16,2016-07-16,First Class,TP-21130,TP-21130A5
US-2016-100720,2016-07-21,2016-07-21,Standard Class,CK-12205,CK-12205A7
CA-2014-149958,2014-03-19,2014-03-19,Standard Class,AS-10240,AS-10240A4
US-2014-105767,2014-05-27,2014-05-27,Standard Class,AR-10510,AR-10510A5
CA-2016-161816,2016-05-01,2016-05-01,First Class,NB-18655,NB-18655A3
CA-2016-121223,2016-09-13,2016-09-13,Second Class,GD-14590,GD-14590A2
CA-2017-138611,2017-11-17,2017-11-17,Second Class,CK-12595,CK-12595A4
CA-2017-117947,2017-08-23,2017-08-23,Second Class,NG-18355,NG-18355A3
US-2014-111171,2014-12-31,2014-12-31,Standard Class,CA-12265,CA-12265A7
CA-2015-138009,2015-12-03,2015-12-03,Standard Class,SF-20965,SF-20965A5
CA-2017-163020,2017-09-19,2017-09-19,Standard Class,MO-17800,MO-17800A7
CA-2017-153787,2017-05-23,2017-05-23,Standard Class,AT-10735,AT-10735A4
CA-2017-133431,2017-12-21,2017-12-21,Standard Class,LC-17140,LC-17140A2
US-2016-135720,2016-12-13,2016-12-13,Second Class,FM-14380,FM-14380A7
CA-2017-144694,2017-09-26,2017-09-26,Second Class,BD-11605,BD-11605A2
CA-2015-168004,2015-10-09,2015-10-09,Second Class,DJ-13420,DJ-13420A2
US-2016-123470,2016-08-21,2016-08-21,Standard Class,ME-17725,ME-17725A8
CA-2016-115917,2016-05-25,2016-05-25,Standard Class,RB-19465,RB-19465A12
CA-2016-147067,2016-12-22,2016-12-22,Standard Class,JD-16150,JD-16150A7
CA-2017-167913,2017-08-03,2017-08-03,Second Class,JL-15835,JL-15835A7
CA-2017-106103,2017-06-15,2017-06-15,Standard Class,SC-20305,SC-20305A1
US-2017-127719,2017-07-25,2017-07-25,Standard Class,TW-21025,TW-21025A5
CA-2017-126221,2018-01-05,2018-01-05,Standard Class,CC-12430,CC-12430A9
CA-2016-103947,2016-04-08,2016-04-08,Standard Class,BB-10990,BB-10990A1
CA-2016-160745,2016-12-16,2016-12-16,Second Class,AR-10825,AR-10825A8
CA-2016-132661,2016-10-29,2016-10-29,Standard Class,SR-20740,SR-20740A1
CA-2017-140844,2017-06-23,2017-06-23,Standard Class,AR-10405,AR-10405A1
CA-2016-137239,2016-08-28,2016-08-28,Standard Class,CR-12730,CR-12730A1
US-2016-156097,2016-09-19,2016-09-19,Same Day,EH-14125,EH-14125A6
CA-2015-146563,2015-08-28,2015-08-28,Standard Class,CB-12025,CB-12025A5
CA-2016-123666,2016-03-30,2016-03-30,Standard Class,SP-20545,SP-20545A2
CA-2016-143308,2016-11-04,2016-11-04,Same Day,RC-19825,RC-19825A3
CA-2017-132682,2017-06-10,2017-06-10,Second Class,TH-21235,TH-21235A4
CA-2014-156314,2014-12-26,2014-12-26,First Class,RP-19390,RP-19390A12
US-2017-106663,2017-06-13,2017-06-13,Standard Class,MO-17800,MO-17800A2
CA-2017-111178,2017-06-22,2017-06-22,Standard Class,TD-20995,TD-20995A8
CA-2017-130351,2017-12-08,2017-12-08,First Class,RB-19570,RB-19570A5
US-2017-119438,2017-03-23,2017-03-23,Standard Class,CD-11980,CD-11980A2
CA-2016-164511,2016-11-24,2016-11-24,Standard Class,DJ-13630,DJ-13630A1
US-2017-168116,2017-11-04,2017-11-04,Same Day,GT-14635,GT-14635A2
CA-2014-157784,2014-07-08,2014-07-08,First Class,MC-17845,MC-17845A1
CA-2017-161480,2017-12-29,2017-12-29,Standard Class,RA-19285,RA-19285A6
US-2014-117135,2014-06-23,2014-06-23,Second Class,NP-18325,NP-18325A4
CA-2015-131534,2015-04-02,2015-04-02,Standard Class,AB-10165,AB-10165A7
CA-2015-119291,2015-05-17,2015-05-17,First Class,JO-15550,JO-15550A2
CA-2017-114552,2017-09-08,2017-09-08,Standard Class,Dl-13600,Dl-13600A2
CA-2016-163755,2016-11-08,2016-11-08,Second Class,AS-10285,AS-10285A4
CA-2015-142027,2015-04-14,2015-04-14,Standard Class,JK-15370,JK-15370A6
CA-2014-138527,2014-09-17,2014-09-17,Standard Class,BN-11470,BN-11470A4
CA-2014-112158,2014-12-04,2014-12-04,First Class,DP-13165,DP-13165A1
CA-2014-113887,2014-04-07,2014-04-07,First Class,TH-21550,TH-21550A7
