,OrderID,ShipDate,ShipMode,CustomerID,AddressID,OrderDate
22,CA-2014-146703,2014-10-25,Second Class,PO-18865,PO-18865A5,2016-12-09
23,CA-2016-169194,2016-06-25,Standard Class,LH-16900,LH-16900A4,2017-07-16
24,CA-2015-115742,2015-04-22,Standard Class,DP-13000,DP-13000A1,2015-09-25
25,CA-2016-105816,2016-12-17,Standard Class,JM-15265,JM-15265A2,2016-01-16
26,CA-2016-111682,2016-06-18,First Class,TB-21055,TB-21055A3,2016-01-16
27,CA-2015-135545,2015-11-30,Standard Class,KM-16720,KM-16720A2,2015-09-17
28,US-2015-164175,2015-05-05,Standard Class,PS-18970,PS-18970A7,2015-09-17
29,CA-2014-106376,2014-12-10,Standard Class,BS-11590,BS-11590A2,2015-09-17
30,CA-2016-119823,2016-06-06,First Class,KD-16270,KD-16270A3,2015-09-17
31,CA-2016-106075,2016-09-23,Standard Class,HM-14980,HM-14980A1,2015-09-17
32,CA-2017-114440,2017-09-17,Second Class,TB-21520,TB-21520A4,2015-09-17
33,US-2015-134026,2015-05-02,Standard Class,JE-15745,JE-15745A11,2015-09-17
34,US-2017-118038,2017-12-11,First Class,KB-16600,KB-16600A6,2017-10-19
35,US-2014-147606,2014-12-01,Second Class,JE-15745,JE-15745A6,2016-12-08
36,CA-2016-127208,2016-06-15,First Class,SC-20770,SC-20770A2,2016-12-08
37,CA-2014-139451,2014-10-16,Standard Class,DN-13690,DN-13690A5,2015-12-27
38,CA-2015-149734,2015-09-08,Standard Class,JC-16105,JC-16105A1,2015-12-27
39,US-2017-119662,2017-11-16,First Class,CS-12400,CS-12400A8,2015-12-27
40,CA-2017-140088,2017-05-30,Second Class,PO-18865,PO-18865A3,2015-12-27
41,CA-2017-155558,2017-11-02,Standard Class,PG-18895,PG-18895A3,2017-09-10
42,CA-2016-159695,2016-04-10,Second Class,GM-14455,GM-14455A6,2016-07-17
43,CA-2016-109806,2016-09-22,Standard Class,JS-15685,JS-15685A3,2017-09-19
44,CA-2015-149587,2015-02-05,Second Class,KB-16315,KB-16315A6,2016-03-11
45,US-2017-109484,2017-11-12,Standard Class,RB-19705,RB-19705A1,2016-03-11
46,CA-2017-161018,2017-11-11,Second Class,PN-18775,PN-18775A6,2014-10-20
47,CA-2017-157833,2017-06-20,First Class,KD-16345,KD-16345A3,2016-06-20
48,CA-2016-149223,2016-09-11,Standard Class,ER-13855,ER-13855A3,2016-06-20
49,CA-2016-158568,2016-09-02,Standard Class,RB-19465,RB-19465A11,2015-04-18
50,CA-2016-129903,2016-12-04,Second Class,GZ-14470,GZ-14470A8,2015-04-18
51,US-2015-156867,2015-11-17,Standard Class,LC-16870,LC-16870A5,2015-04-18
52,CA-2017-119004,2017-11-28,Standard Class,JM-15250,JM-15250A1,2015-04-18
53,CA-2015-129476,2015-10-20,Standard Class,PA-19060,PA-19060A4,2016-12-11
54,CA-2017-146780,2017-12-30,Standard Class,CV-12805,CV-12805A8,2016-12-11
55,CA-2016-128867,2016-11-10,Standard Class,CL-12565,CL-12565A4,2016-06-17
56,CA-2014-115259,2014-08-27,Second Class,RC-19960,RC-19960A1,2016-06-17
57,CA-2015-110457,2015-03-06,Standard Class,DK-13090,DK-13090A3,2016-06-17
58,US-2015-136476,2015-04-10,Standard Class,GG-14650,GG-14650A3,2016-06-17
59,CA-2016-103730,2016-06-15,First Class,SC-20725,SC-20725A4,2016-06-17
60,US-2014-152030,2014-12-28,Second Class,AD-10180,AD-10180A8,2016-06-17
61,US-2014-134614,2014-09-25,Standard Class,PF-19165,PF-19165A4,2016-06-17
62,US-2017-107272,2017-11-12,Standard Class,TS-21610,TS-21610A2,2015-11-24
63,US-2016-125969,2016-11-10,Second Class,LS-16975,LS-16975A6,2015-11-24
64,US-2017-164147,2017-02-05,First Class,DW-13585,DW-13585A6,2015-11-24
65,CA-2016-145583,2016-10-19,Standard Class,LC-16885,LC-16885A10,2015-11-24
66,CA-2016-110366,2016-09-07,Second Class,JD-15895,JD-15895A3,2015-04-30
67,CA-2017-106180,2017-09-23,Standard Class,SH-19975,SH-19975A12,2014-12-05
68,CA-2017-155376,2017-12-27,Standard Class,SG-20080,SG-20080A1,2014-12-05
69,CA-2015-110744,2015-09-12,Standard Class,HA-14920,HA-14920A2,2016-06-04
70,CA-2014-110072,2014-10-28,Standard Class,MG-17680,MG-17680A1,2016-09-18
71,CA-2016-114489,2016-12-09,Standard Class,JE-16165,JE-16165A3,2017-09-14
72,CA-2016-158834,2016-03-16,First Class,TW-21025,TW-21025A1,2015-04-26
73,CA-2015-124919,2015-06-02,First Class,SP-20650,SP-20650A4,2015-04-26
74,CA-2015-118948,2015-06-03,Standard Class,NK-18490,NK-18490A2,2015-04-26
75,CA-2014-104269,2014-03-06,Second Class,DB-13060,DB-13060A6,2017-12-09
76,CA-2016-114104,2016-11-24,Standard Class,NP-18670,NP-18670A1,2017-12-09
77,CA-2016-162733,2016-05-12,First Class,TT-21070,TT-21070A1,2017-12-09
78,CA-2015-119697,2015-12-31,Second Class,EM-13960,EM-13960A4,2014-11-26
79,CA-2016-154508,2016-11-20,Standard Class,RD-19900,RD-19900A1,2016-06-12
80,CA-2016-113817,2016-11-11,Standard Class,MJ-17740,MJ-17740A4,2016-06-12
81,CA-2014-139892,2014-09-12,Standard Class,BM-11140,BM-11140A1,2014-10-12
82,CA-2014-118962,2014-08-09,Standard Class,CS-12130,CS-12130A3,2014-10-12
83,US-2014-100853,2014-09-19,Standard Class,JB-15400,JB-15400A1,2015-09-03
84,US-2017-152366,2017-04-25,Second Class,SJ-20500,SJ-20500A2,2017-11-13
85,US-2015-101511,2015-11-23,Second Class,JE-15745,JE-15745A8,2017-05-28
86,CA-2015-137225,2015-12-19,Standard Class,JK-15640,JK-15640A3,2017-10-26
87,CA-2014-166191,2014-12-09,Second Class,DK-13150,DK-13150A1,2017-10-26
88,CA-2014-158274,2014-11-24,Second Class,RM-19675,RM-19675A5,2016-04-05
89,CA-2016-105018,2016-12-02,Standard Class,SK-19990,SK-19990A3,2016-09-17
90,CA-2014-123260,2014-08-30,Standard Class,FM-14290,FM-14290A4,2016-09-17
91,CA-2016-157000,2016-07-22,Standard Class,AM-10360,AM-10360A1,2016-09-17
92,CA-2015-102281,2015-10-14,First Class,MP-17470,MP-17470A3,2015-01-31
93,CA-2015-131457,2015-11-06,Standard Class,MZ-17515,MZ-17515A6,2015-01-31
94,CA-2014-140004,2014-03-25,Standard Class,CB-12025,CB-12025A1,2015-01-31
95,CA-2017-107720,2017-11-13,Standard Class,VM-21685,VM-21685A2,2017-11-06
96,US-2017-124303,2017-07-13,Standard Class,FH-14365,FH-14365A2,2017-11-09
97,CA-2017-105074,2017-06-29,Standard Class,MB-17305,MB-17305A10,2017-06-17
98,CA-2014-133690,2014-08-05,First Class,BS-11755,BS-11755A7,2016-09-06
99,US-2017-116701,2017-12-21,Second Class,LC-17140,LC-17140A9,2016-08-29
100,CA-2017-126382,2017-06-07,Standard Class,HK-14890,HK-14890A1,2016-08-29
101,CA-2017-108329,2017-12-14,Standard Class,LE-16810,LE-16810A1,2016-08-29
102,CA-2017-135860,2017-12-07,Standard Class,JH-15985,JH-15985A6,2016-12-01
103,CA-2015-101007,2015-02-13,Second Class,MS-17980,MS-17980A1,2015-11-13
104,CA-2015-146262,2015-01-09,Standard Class,VW-21775,VW-21775A10,2015-11-13
105,CA-2016-130162,2016-11-01,Standard Class,JH-15910,JH-15910A3,2015-11-13
106,CA-2015-169397,2015-12-27,First Class,JB-15925,JB-15925A1,2017-11-23
107,CA-2015-163055,2015-08-16,Standard Class,DS-13180,DS-13180A8,2017-11-23
108,US-2015-145436,2015-03-04,Standard Class,VD-21670,VD-21670A6,2017-11-23
109,US-2014-156216,2014-09-17,Standard Class,EA-14035,EA-14035A12,2015-10-15
110,US-2017-100930,2017-04-12,Standard Class,CS-12400,CS-12400A6,2017-12-25
111,CA-2017-160514,2017-11-16,Standard Class,DB-13120,DB-13120A7,2016-11-03
112,CA-2016-157749,2016-06-09,Second Class,KL-16645,KL-16645A3,2016-11-03
113,CA-2014-131926,2014-06-06,Second Class,DW-13480,DW-13480A2,2014-08-25
114,CA-2016-154739,2016-12-15,Second Class,LH-17155,LH-17155A7,2014-08-25
115,CA-2016-145625,2016-09-17,Standard Class,KC-16540,KC-16540A4,2014-08-25
116,CA-2016-146941,2016-12-13,First Class,DL-13315,DL-13315A8,2014-08-25
117,US-2015-159982,2015-12-04,Standard Class,DR-12880,DR-12880A7,2015-03-02
118,CA-2017-163139,2017-12-03,Second Class,CC-12670,CC-12670A1,2015-04-05
119,US-2017-155299,2017-06-12,Standard Class,Dl-13600,Dl-13600A3,2016-06-12
120,US-2014-106992,2014-09-21,Second Class,SB-20290,SB-20290A3,2016-06-12
121,CA-2016-125318,2016-06-13,Standard Class,RC-19825,RC-19825A1,2016-06-12
122,CA-2015-155040,2015-11-15,Standard Class,AH-10210,AH-10210A8,2016-06-12
123,CA-2017-136826,2017-06-20,Standard Class,CB-12535,CB-12535A6,2016-06-12
124,CA-2016-111010,2016-01-28,Standard Class,PG-18895,PG-18895A7,2014-12-26
125,US-2017-145366,2017-12-13,Standard Class,CA-12310,CA-12310A1,2014-09-20
126,CA-2017-163979,2018-01-02,Second Class,KH-16690,KH-16690A5,2017-11-05
127,CA-2015-155334,2015-07-31,First Class,HA-14920,HA-14920A4,2017-11-05
128,CA-2017-118136,2017-09-17,First Class,BB-10990,BB-10990A3,2016-11-06
129,CA-2017-132976,2017-10-17,Standard Class,AG-10495,AG-10495A7,2016-11-06
130,US-2015-161991,2015-09-28,Second Class,SC-20725,SC-20725A10,2017-02-02
131,CA-2015-130890,2015-11-06,Standard Class,JO-15280,JO-15280A3,2017-02-02
132,CA-2015-130883,2015-10-02,Standard Class,TB-21520,TB-21520A2,2017-02-02
133,CA-2016-112697,2016-12-20,Second Class,AH-10195,AH-10195A3,2016-10-13
134,CA-2016-110772,2016-11-24,Second Class,NZ-18565,NZ-18565A4,2016-10-13
135,CA-2014-111451,2014-12-28,First Class,KL-16555,KL-16555A4,2016-10-13
136,CA-2016-142545,2016-11-03,Standard Class,JD-15895,JD-15895A9,2016-10-13
137,US-2017-152380,2017-11-23,Standard Class,JH-15910,JH-15910A1,2016-10-13
138,CA-2015-144253,2015-05-09,Second Class,AS-10225,AS-10225A5,2016-10-13
139,CA-2014-130960,2015-01-04,Standard Class,KB-16600,KB-16600A7,2016-10-13
140,CA-2014-111003,2014-06-06,Standard Class,CR-12625,CR-12625A3,2016-09-05
141,CA-2017-126774,2017-04-17,First Class,SH-20395,SH-20395A4,2017-09-18
142,CA-2016-142902,2016-09-14,Second Class,BP-11185,BP-11185A9,2017-09-18
143,CA-2014-120887,2014-10-03,Standard Class,TS-21205,TS-21205A5,2017-09-18
144,CA-2014-167850,2014-08-16,Standard Class,AG-10525,AG-10525A1,2017-12-22
145,CA-2014-164259,2014-12-30,First Class,SP-20860,SP-20860A2,2015-09-07
146,CA-2014-164973,2014-11-09,Standard Class,NM-18445,NM-18445A6,2014-10-22
147,CA-2014-156601,2014-09-24,Standard Class,FA-14230,FA-14230A5,2016-12-05
148,CA-2016-162138,2016-04-27,Standard Class,GK-14620,GK-14620A4,2016-12-05
149,CA-2017-153339,2017-11-05,Second Class,DJ-13510,DJ-13510A6,2016-12-05
150,US-2016-141544,2016-09-01,First Class,PO-18850,PO-18850A10,2016-12-05
151,US-2016-150147,2016-04-29,Second Class,JL-15850,JL-15850A2,2016-03-13
152,CA-2015-137946,2015-09-04,Second Class,DB-13615,DB-13615A5,2016-03-13
153,CA-2014-129924,2014-07-17,Standard Class,AC-10420,AC-10420A2,2015-05-31
154,CA-2015-128167,2015-06-26,Second Class,KL-16645,KL-16645A11,2015-05-31
155,CA-2014-122336,2014-04-17,Second Class,JD-15895,JD-15895A3,2015-05-31
156,US-2015-120712,2015-12-24,Standard Class,CS-12130,CS-12130A2,2015-05-28
157,CA-2017-169901,2017-06-19,Standard Class,CC-12550,CC-12550A2,2014-03-01
158,CA-2017-134306,2017-07-12,Standard Class,TD-20995,TD-20995A6,2016-11-20
159,CA-2016-129714,2016-09-03,First Class,AB-10060,AB-10060A5,2016-11-20
160,CA-2016-138520,2016-04-13,Standard Class,JL-15505,JL-15505A5,2016-05-11
161,CA-2016-130001,2016-04-28,Standard Class,HK-14890,HK-14890A7,2015-12-28
162,CA-2017-155698,2017-03-11,First Class,VB-21745,VB-21745A1,2016-11-16
163,CA-2017-144904,2017-10-01,Standard Class,KW-16435,KW-16435A5,2016-11-07
164,CA-2014-123344,2014-09-29,Standard Class,JD-16060,JD-16060A1,2014-09-08
165,CA-2016-155516,2016-10-21,Same Day,MK-17905,MK-17905A2,2014-09-08
166,CA-2017-104745,2017-06-04,Standard Class,GT-14755,GT-14755A2,2014-09-08
167,US-2014-119137,2014-07-27,Standard Class,AG-10900,AG-10900A1,2014-09-08
168,US-2016-134656,2016-10-01,First Class,MM-18280,MM-18280A6,2014-09-08
169,US-2017-134481,2017-09-01,Standard Class,AR-10405,AR-10405A4,2014-09-08
170,CA-2015-130792,2015-05-05,Standard Class,RA-19915,RA-19915A9,2014-09-08
171,CA-2016-134775,2016-10-29,First Class,AS-10285,AS-10285A2,2014-08-05
172,CA-2015-125395,2015-06-29,Second Class,LA-16780,LA-16780A9,2014-08-05
173,US-2015-168935,2015-12-02,Standard Class,DO-13435,DO-13435A5,2014-08-05
174,CA-2015-122756,2015-12-07,Standard Class,DK-13225,DK-13225A1,2014-09-14
175,CA-2014-115973,2014-11-26,First Class,NG-18430,NG-18430A2,2014-09-14
176,CA-2017-101798,2017-12-15,Standard Class,MV-18190,MV-18190A6,2017-04-21
177,US-2014-135972,2014-09-23,Second Class,JG-15115,JG-15115A1,2015-11-21
178,US-2014-134971,2014-06-10,Second Class,BP-11095,BP-11095A7,2015-11-21
179,CA-2017-102946,2017-07-05,Standard Class,VP-21730,VP-21730A3,2015-12-15
180,CA-2017-165603,2017-10-19,Second Class,SS-20140,SS-20140A4,2014-12-05
181,CA-2015-122259,2015-11-04,Standard Class,HP-14815,HP-14815A7,2014-12-05
182,CA-2016-108987,2016-09-10,Second Class,AG-10675,AG-10675A5,2014-11-19
183,CA-2014-113166,2014-12-26,First Class,LF-17185,LF-17185A2,2014-11-19
184,CA-2014-155208,2014-04-20,Standard Class,SP-20650,SP-20650A2,2014-11-19
185,CA-2017-117933,2017-12-29,Standard Class,RF-19840,RF-19840A4,2016-11-28
186,CA-2017-117457,2017-12-12,Standard Class,KH-16510,KH-16510A7,2014-08-26
187,CA-2017-142636,2017-11-07,Standard Class,KC-16675,KC-16675A1,2016-07-16
188,CA-2017-122105,2017-06-28,Standard Class,CJ-12010,CJ-12010A6,2016-07-16
189,CA-2016-148796,2016-04-18,Standard Class,PB-19150,PB-19150A2,2015-10-12
190,CA-2017-154816,2017-11-10,Standard Class,VB-21745,VB-21745A5,2015-10-12
191,CA-2017-110478,2017-03-09,Standard Class,SP-20860,SP-20860A6,2015-10-12
192,CA-2014-142048,2014-06-25,First Class,JE-15745,JE-15745A7,2015-10-12
193,CA-2017-125388,2017-10-23,Standard Class,MP-17965,MP-17965A2,2015-10-12
194,CA-2017-155705,2017-08-23,Second Class,NF-18385,NF-18385A3,2015-10-31
195,CA-2017-149160,2017-11-26,Second Class,JM-15265,JM-15265A3,2014-03-21
196,CA-2014-101476,2014-09-13,First Class,SD-20485,SD-20485A5,2014-03-21
197,CA-2017-152275,2017-10-08,Standard Class,KH-16630,KH-16630A1,2017-11-06
198,US-2016-123750,2016-04-21,Standard Class,RB-19795,RB-19795A8,2017-07-06
199,CA-2016-127369,2016-06-07,First Class,DB-13060,DB-13060A7,2017-07-06
200,US-2014-150574,2014-12-25,Standard Class,MK-18160,MK-18160A2,2017-06-24
201,CA-2016-147375,2016-06-14,Second Class,PO-19180,PO-19180A2,2014-08-03
202,CA-2017-130043,2017-09-19,Standard Class,BB-11545,BB-11545A2,2014-08-03
203,CA-2017-157252,2017-01-23,Second Class,CV-12805,CV-12805A1,2017-12-17
204,CA-2016-115756,2016-09-07,Second Class,PK-19075,PK-19075A3,2017-06-03
205,CA-2017-154214,2017-03-25,Second Class,TB-21595,TB-21595A1,2017-12-09
206,CA-2016-166674,2016-04-03,Second Class,RB-19360,RB-19360A4,2017-12-01
207,CA-2017-147277,2017-10-24,Standard Class,EB-13705,EB-13705A3,2017-12-01
208,CA-2016-100153,2016-12-17,Standard Class,KH-16630,KH-16630A7,2017-12-01
209,US-2014-110674,2014-02-18,Standard Class,SC-20095,SC-20095A6,2017-12-01
210,US-2016-157945,2016-10-01,Standard Class,NF-18385,NF-18385A4,2017-12-01
211,CA-2015-109638,2015-12-22,Standard Class,JH-15985,JH-15985A5,2015-02-09
212,CA-2016-109869,2016-04-29,Standard Class,TN-21040,TN-21040A3,2015-01-02
213,US-2015-101399,2015-01-24,Standard Class,JS-15940,JS-15940A3,2015-01-02
214,CA-2017-154907,2017-04-04,Standard Class,DS-13180,DS-13180A4,2015-01-02
215,US-2016-100419,2016-12-20,Second Class,CC-12670,CC-12670A5,2015-01-02
216,CA-2015-154144,2015-12-24,Standard Class,MH-17785,MH-17785A2,2015-01-02
217,CA-2014-144666,2014-11-11,Second Class,JP-15520,JP-15520A3,2016-10-28
218,CA-2016-103891,2016-07-19,Standard Class,KH-16690,KH-16690A7,2016-10-28
219,CA-2016-152632,2016-11-02,Standard Class,JE-15475,JE-15475A1,2015-12-24
220,CA-2016-100790,2016-07-02,Standard Class,JG-15805,JG-15805A2,2015-12-24
221,CA-2014-134677,2014-10-10,Standard Class,XP-21865,XP-21865A3,2015-12-24
222,CA-2014-127691,2014-07-27,Standard Class,EM-14065,EM-14065A3,2015-12-24
223,CA-2017-140963,2017-06-13,First Class,MT-18070,MT-18070A2,2015-12-24
224,CA-2014-154627,2014-10-31,First Class,SA-20830,SA-20830A10,2015-12-24
225,CA-2014-133753,2014-06-13,Second Class,CW-11905,CW-11905A5,2015-08-09
226,CA-2014-113362,2014-09-19,Standard Class,AJ-10960,AJ-10960A2,2015-08-09
227,CA-2016-169166,2016-05-14,Standard Class,SS-20590,SS-20590A6,2015-08-09
228,US-2016-120929,2016-03-21,Second Class,RO-19780,RO-19780A7,2015-02-28
229,CA-2015-134782,2015-12-31,Standard Class,MD-17350,MD-17350A3,2015-02-28
230,CA-2016-126158,2016-07-31,Standard Class,SC-20095,SC-20095A1,2014-09-13
231,US-2016-105578,2016-06-04,Standard Class,MY-17380,MY-17380A4,2017-04-07
232,CA-2017-134978,2017-11-15,Second Class,EB-13705,EB-13705A5,2017-04-07
233,CA-2015-145352,2015-03-22,Standard Class,CM-12385,CM-12385A3,2017-04-07
234,CA-2017-135307,2017-11-27,First Class,LS-17245,LS-17245A2,2017-04-07
235,CA-2016-106341,2016-10-23,First Class,LF-17185,LF-17185A3,2017-04-07
236,CA-2017-163405,2017-12-25,Standard Class,BN-11515,BN-11515A1,2017-11-12
237,CA-2017-127432,2017-01-27,Standard Class,AD-10180,AD-10180A5,2016-06-04
238,CA-2015-157812,2015-03-26,Standard Class,DB-13210,DB-13210A5,2016-06-04
239,CA-2017-145142,2017-01-25,First Class,MC-17605,MC-17605A3,2016-06-04
240,US-2016-139486,2016-05-23,First Class,LH-17155,LH-17155A3,2016-06-04
241,CA-2015-158792,2016-01-02,Standard Class,BD-11605,BD-11605A4,2016-06-04
242,CA-2017-113558,2017-10-26,Standard Class,PH-18790,PH-18790A1,2016-06-04
243,US-2015-138303,2015-09-07,Standard Class,MG-18145,MG-18145A4,2016-06-04
244,CA-2015-102848,2015-11-09,Second Class,KB-16240,KB-16240A7,2014-06-01
245,US-2017-129441,2017-09-11,Standard Class,JC-15340,JC-15340A1,2014-06-01
246,CA-2016-168753,2016-06-01,Second Class,RL-19615,RL-19615A4,2014-06-01
247,CA-2016-126613,2016-07-16,Standard Class,AA-10375,AA-10375A9,2014-06-01
248,US-2017-122637,2017-09-08,Second Class,EP-13915,EP-13915A16,2014-06-01
249,CA-2015-147851,2015-12-08,Standard Class,MP-17470,MP-17470A4,2016-12-10
250,CA-2015-134894,2015-12-11,Standard Class,DK-12985,DK-12985A5,2016-09-11
251,CA-2014-140795,2014-02-03,First Class,BD-11500,BD-11500A5,2016-09-11
252,CA-2016-136924,2016-07-17,First Class,ES-14080,ES-14080A1,2016-12-10
253,US-2015-120161,2015-12-23,Standard Class,LM-17065,LM-17065A3,2016-12-10
254,CA-2014-103849,2014-05-16,Standard Class,PG-18895,PG-18895A2,2015-11-28
255,CA-2017-162929,2017-11-22,First Class,AS-10135,AS-10135A1,2015-11-28
256,CA-2015-113173,2015-11-17,Second Class,DK-13225,DK-13225A8,2015-11-28
257,CA-2016-136406,2016-04-17,Second Class,BD-11320,BD-11320A9,2015-11-28
258,CA-2017-112774,2017-09-12,First Class,RC-19960,RC-19960A4,2017-12-01
259,CA-2017-101945,2017-11-28,Standard Class,GT-14710,GT-14710A1,2017-12-01
260,CA-2017-100650,2017-07-03,Second Class,DK-13225,DK-13225A6,2017-12-01
261,CA-2014-155852,2014-03-07,Second Class,AJ-10945,AJ-10945A5,2017-06-08
262,CA-2016-113243,2016-06-15,Standard Class,OT-18730,OT-18730A5,2014-09-19
263,CA-2017-118731,2017-11-22,Second Class,LP-17080,LP-17080A2,2014-09-19
264,CA-2014-145576,2014-09-18,Second Class,CA-12775,CA-12775A1,2016-06-06
265,CA-2015-130736,2015-12-09,First Class,JF-15490,JF-15490A1,2015-11-10
266,CA-2017-137099,2017-12-10,First Class,FP-14320,FP-14320A5,2017-06-16
267,CA-2017-156951,2017-10-08,Standard Class,EB-13840,EB-13840A4,2016-01-22
268,CA-2017-164826,2018-01-04,Standard Class,JF-15415,JF-15415A3,2017-12-09
269,CA-2016-127250,2016-11-07,Standard Class,SF-20200,SF-20200A2,2017-12-09
270,CA-2015-149713,2015-09-22,Second Class,TG-21640,TG-21640A3,2017-12-28
271,CA-2017-118640,2017-07-26,Standard Class,CS-11950,CS-11950A7,2015-07-30
272,CA-2015-132906,2015-09-14,Standard Class,CC-12145,CC-12145A5,2015-07-30
273,CA-2017-145233,2017-12-05,Standard Class,DV-13465,DV-13465A6,2015-07-30
274,CA-2015-128139,2015-07-09,Standard Class,BD-11725,BD-11725A3,2017-09-16
275,US-2016-156986,2016-03-24,Standard Class,ZC-21910,ZC-21910A8,2017-09-16
276,CA-2014-135405,2014-01-13,Standard Class,MS-17830,MS-17830A4,2017-10-13
277,CA-2014-131450,2014-08-15,Standard Class,LR-16915,LR-16915A3,2017-10-13
278,CA-2016-120180,2016-07-16,First Class,TP-21130,TP-21130A5,2017-10-13
279,US-2016-100720,2016-07-21,Standard Class,CK-12205,CK-12205A7,2017-10-13
280,CA-2014-149958,2014-03-19,Standard Class,AS-10240,AS-10240A4,2015-09-26
281,US-2014-105767,2014-05-27,Standard Class,AR-10510,AR-10510A5,2015-09-26
282,CA-2016-161816,2016-05-01,First Class,NB-18655,NB-18655A3,2015-11-02
283,CA-2016-121223,2016-09-13,Second Class,GD-14590,GD-14590A2,2015-09-26
284,CA-2017-138611,2017-11-17,Second Class,CK-12595,CK-12595A4,2015-09-26
285,CA-2017-117947,2017-08-23,Second Class,NG-18355,NG-18355A3,2015-09-26
286,US-2014-111171,2014-12-31,Standard Class,CA-12265,CA-12265A7,2016-12-18
287,CA-2015-138009,2015-12-03,Standard Class,SF-20965,SF-20965A5,2016-12-18
288,CA-2017-163020,2017-09-19,Standard Class,MO-17800,MO-17800A7,2016-12-18
289,CA-2017-153787,2017-05-23,Standard Class,AT-10735,AT-10735A4,2016-11-20
290,CA-2017-133431,2017-12-21,Standard Class,LC-17140,LC-17140A2,2016-11-20
291,US-2016-135720,2016-12-13,Second Class,FM-14380,FM-14380A7,2016-11-20
292,CA-2017-144694,2017-09-26,Second Class,BD-11605,BD-11605A2,2016-11-20
293,CA-2015-168004,2015-10-09,Second Class,DJ-13420,DJ-13420A2,2014-12-26
294,US-2016-123470,2016-08-21,Standard Class,ME-17725,ME-17725A8,2014-12-26
295,CA-2016-115917,2016-05-25,Standard Class,RB-19465,RB-19465A12,2014-12-26
296,CA-2016-147067,2016-12-22,Standard Class,JD-16150,JD-16150A7,2014-12-26
297,CA-2017-167913,2017-08-03,Second Class,JL-15835,JL-15835A7,2014-12-26
298,CA-2017-106103,2017-06-15,Standard Class,SC-20305,SC-20305A1,2016-10-28
299,US-2017-127719,2017-07-25,Standard Class,TW-21025,TW-21025A5,2016-10-28
300,CA-2017-126221,2018-01-05,Standard Class,CC-12430,CC-12430A9,2016-10-28
301,CA-2016-103947,2016-04-08,Standard Class,BB-10990,BB-10990A1,2016-10-28
302,CA-2016-160745,2016-12-16,Second Class,AR-10825,AR-10825A8,2016-10-28
303,CA-2016-132661,2016-10-29,Standard Class,SR-20740,SR-20740A1,2017-11-19
304,CA-2017-140844,2017-06-23,Standard Class,AR-10405,AR-10405A1,2015-05-04
305,CA-2016-137239,2016-08-28,Standard Class,CR-12730,CR-12730A1,2014-12-30
306,US-2016-156097,2016-09-19,Same Day,EH-14125,EH-14125A6,2014-06-01
307,CA-2015-146563,2015-08-28,Standard Class,CB-12025,CB-12025A5,2014-06-01
308,CA-2016-123666,2016-03-30,Standard Class,SP-20545,SP-20545A2,2017-04-15
309,CA-2016-143308,2016-11-04,Same Day,RC-19825,RC-19825A3,2016-09-12
310,CA-2017-132682,2017-06-10,Second Class,TH-21235,TH-21235A4,2016-09-12
311,CA-2014-156314,2014-12-26,First Class,RP-19390,RP-19390A12,2016-09-12
312,US-2017-106663,2017-06-13,Standard Class,MO-17800,MO-17800A2,2016-09-12
313,CA-2017-111178,2017-06-22,Standard Class,TD-20995,TD-20995A8,2014-09-27
